,id,status_group
0,50785,
1,51630,
2,17168,
3,45559,
4,49871,
5,52449,
6,24806,
7,28965,
8,36301,
9,54122,
10,419,
11,45750,
12,653,
13,14017,
14,44607,
15,40228,
16,27714,
17,28785,
18,28330,
19,18532,
20,69961,
21,55083,
22,8691,
23,30331,
24,70970,
25,61136,
26,28799,
27,46825,
28,44718,
29,37350,
30,65738,
31,3271,
32,42658,
33,67523,
34,37034,
35,42432,
36,27420,
37,707,
38,48489,
39,51008,
40,72562,
41,10275,
42,53540,
43,43291,
44,8813,
45,62343,
46,1649,
47,8822,
48,10352,
49,50878,
50,15266,
51,51956,
52,44099,
53,59,
54,51359,
55,15962,
56,17853,
57,42040,
58,72243,
59,63653,
60,26510,
61,72053,
62,29351,
63,51897,
64,20376,
65,26804,
66,67303,
67,69780,
68,45374,
69,54665,
70,39341,
71,8869,
72,20691,
73,19693,
74,14321,
75,63059,
76,67403,
77,28912,
78,12549,
79,24328,
80,13750,
81,1574,
82,44149,
83,53917,
84,22705,
85,66465,
86,15644,
87,20773,
88,33092,
89,54392,
90,37850,
91,5576,
92,60840,
93,9971,
94,57508,
95,25872,
96,43978,
97,38181,
98,24325,
99,2724,
100,34794,
101,56525,
102,63155,
103,67247,
104,23387,
105,17873,
106,18197,
107,24834,
108,4091,
109,33261,
110,44384,
111,62096,
112,64554,
113,68314,
114,53,
115,23426,
116,38259,
117,16631,
118,43162,
119,44492,
120,38884,
121,13690,
122,60335,
123,31856,
124,67891,
125,25564,
126,55293,
127,31866,
128,71178,
129,60279,
130,28615,
131,8744,
132,48308,
133,49626,
134,38098,
135,30309,
136,8015,
137,3496,
138,56971,
139,68616,
140,8646,
141,74104,
142,37501,
143,33001,
144,69202,
145,68409,
146,51847,
147,55647,
148,17923,
149,71743,
150,51539,
151,73819,
152,66881,
153,58768,
154,2648,
155,68933,
156,12427,
157,16633,
158,24123,
159,58551,
160,17132,
161,3027,
162,2651,
163,25998,
164,63400,
165,50028,
166,67897,
167,21425,
168,71756,
169,16862,
170,15420,
171,47784,
172,712,
173,54368,
174,2866,
175,51130,
176,27993,
177,21621,
178,66038,
179,42182,
180,17694,
181,57759,
182,47978,
183,52359,
184,69656,
185,24086,
186,43579,
187,43284,
188,2877,
189,21171,
190,40982,
191,48396,
192,13323,
193,28467,
194,2768,
195,73593,
196,65164,
197,69976,
198,52145,
199,49259,
200,23542,
201,69848,
202,9305,
203,14359,
204,28925,
205,21243,
206,10616,
207,73667,
208,20566,
209,63711,
210,72840,
211,31651,
212,3782,
213,6799,
214,21402,
215,35390,
216,12636,
217,36887,
218,20086,
219,5634,
220,48029,
221,29927,
222,2930,
223,41800,
224,68349,
225,61678,
226,30270,
227,4678,
228,9392,
229,20735,
230,49300,
231,70339,
232,25572,
233,61445,
234,32190,
235,39189,
236,14853,
237,52207,
238,48035,
239,73122,
240,16352,
241,42721,
242,15116,
243,7837,
244,56907,
245,46382,
246,64521,
247,67362,
248,61861,
249,72139,
250,3398,
251,62911,
252,48152,
253,48001,
254,64118,
255,65793,
256,61557,
257,32352,
258,1830,
259,50553,
260,51961,
261,38481,
262,48371,
263,56540,
264,18142,
265,72934,
266,39300,
267,40115,
268,3793,
269,59318,
270,68070,
271,67527,
272,34898,
273,26592,
274,67682,
275,52394,
276,32218,
277,69045,
278,12808,
279,49250,
280,64126,
281,64903,
282,35165,
283,9543,
284,64635,
285,47929,
286,28329,
287,67954,
288,16575,
289,16612,
290,27003,
291,73324,
292,7043,
293,22174,
294,19450,
295,35825,
296,9854,
297,23254,
298,72170,
299,61999,
300,70354,
301,6877,
302,47323,
303,48624,
304,6148,
305,59698,
306,67268,
307,59174,
308,68916,
309,28358,
310,57453,
311,71952,
312,1761,
313,15234,
314,60021,
315,22567,
316,17695,
317,19872,
318,22828,
319,34896,
320,35570,
321,41325,
322,8831,
323,5345,
324,19379,
325,5514,
326,61654,
327,40482,
328,43123,
329,40492,
330,68733,
331,3952,
332,70288,
333,30085,
334,65837,
335,34752,
336,2465,
337,11466,
338,22313,
339,30179,
340,23505,
341,48424,
342,11150,
343,70368,
344,26935,
345,5919,
346,2134,
347,16652,
348,59302,
349,24210,
350,6211,
351,19743,
352,10760,
353,48104,
354,50171,
355,63137,
356,38301,
357,10948,
358,33232,
